,Date,Price
154,2008-02-15 00:00:00,575000
155,2008-02-15 00:00:00,625000
156,2008-02-16 00:00:00,610000
157,2008-02-19 00:00:00,445000
158,2008-02-21 00:00:00,655000
159,2008-02-23 00:00:00,500000
160,2008-02-23 00:00:00,515000
161,2008-02-23 00:00:00,811000
162,2008-02-27 00:00:00,590000
163,2008-02-27 00:00:00,645000
164,2008-02-27 00:00:00,730000
165,2008-02-29 00:00:00,342000
166,2008-02-29 00:00:00,471000
167,2008-02-29 00:00:00,488000
168,2008-03-13 00:00:00,646000
169,2008-03-14 00:00:00,655000
170,2008-03-15 00:00:00,580000
171,2008-03-19 00:00:00,405000
172,2008-03-20 00:00:00,695000
173,2008-04-09 00:00:00,420000
174,2008-04-09 00:00:00,503000
175,2008-04-10 00:00:00,380000
176,2008-04-11 00:00:00,334000
177,2008-04-11 00:00:00,395000
178,2008-04-11 00:00:00,467500
179,2008-04-14 00:00:00,522500
180,2008-04-14 00:00:00,635000
181,2008-04-14 00:00:00,690000
182,2008-04-14 00:00:00,780000
183,2008-04-15 00:00:00,679000
184,2008-04-18 00:00:00,467000
185,2008-04-21 00:00:00,649000
186,2008-04-22 00:00:00,675000
187,2008-04-23 00:00:00,415000
188,2008-04-23 00:00:00,445000
189,2008-04-24 00:00:00,292500
190,2008-04-24 00:00:00,450000
191,2008-04-29 00:00:00,680000
192,2008-04-29 00:00:00,950000
193,2008-04-30 00:00:00,485000
194,2008-05-01 00:00:00,640000
195,2008-05-02 00:00:00,332000
196,2008-05-02 00:00:00,622500
197,2008-05-02 00:00:00,775000
198,2008-05-05 00:00:00,575000
199,2008-05-05 00:00:00,690000
200,2008-05-09 00:00:00,465000
201,2008-05-12 00:00:00,635000
202,2008-05-13 00:00:00,307000
203,2008-05-14 00:00:00,450000
204,2008-05-16 00:00:00,442000
205,2008-05-16 00:00:00,490000
206,2008-05-17 00:00:00,865000
207,2008-05-19 00:00:00,430000
208,2008-05-23 00:00:00,444000
209,2008-05-27 00:00:00,535000
210,2008-05-28 00:00:00,542000
211,2008-05-30 00:00:00,357000
212,2008-06-02 00:00:00,429000
213,2008-06-02 00:00:00,1180000
214,2008-06-03 00:00:00,375000
215,2008-06-06 00:00:00,526000
216,2008-06-06 00:00:00,760000
217,2008-06-10 00:00:00,447250
218,2008-06-10 00:00:00,492500
219,2008-06-10 00:00:00,727500
220,2008-06-11 00:00:00,360100
221,2008-06-11 00:00:00,750000
222,2008-06-13 00:00:00,365000
223,2008-06-13 00:00:00,670000
224,2008-06-14 00:00:00,419000
225,2008-06-14 00:00:00,515000
226,2008-06-17 00:00:00,340000
227,2008-06-17 00:00:00,600000
228,2008-06-18 00:00:00,362000
229,2008-06-19 00:00:00,765000
230,2008-06-19 00:00:00,770000
231,2008-06-20 00:00:00,469000
232,2008-06-23 00:00:00,367000
233,2008-06-24 00:00:00,465000
234,2008-06-25 00:00:00,375000
235,2008-06-25 00:00:00,505000
236,2008-06-25 00:00:00,605000
237,2008-06-26 00:00:00,325000
238,2008-06-27 00:00:00,421000
239,2008-06-27 00:00:00,550000
240,2008-06-27 00:00:00,590000
241,2008-06-29 00:00:00,522500
242,2008-06-30 00:00:00,480000
243,2008-06-30 00:00:00,1165000
244,2008-07-01 00:00:00,670000
245,2008-07-04 00:00:00,375000
246,2008-07-07 00:00:00,392500
247,2008-07-07 00:00:00,445000
248,2008-07-08 00:00:00,383000
249,2008-07-10 00:00:00,418000
250,2008-07-10 00:00:00,860000
251,2008-07-11 00:00:00,418000
252,2008-07-11 00:00:00,442000
253,2008-07-14 00:00:00,360000
254,2008-07-14 00:00:00,495000
255,2008-07-16 00:00:00,468000
256,2008-07-16 00:00:00,605000
257,2008-07-16 00:00:00,1090000
258,2008-07-17 00:00:00,558000
259,2008-07-18 00:00:00,700000
260,2008-07-18 00:00:00,1300000
261,2008-07-19 00:00:00,320000
262,2008-07-23 00:00:00,415000
263,2008-07-23 00:00:00,480000
264,2008-07-23 00:00:00,553000
265,2008-07-23 00:00:00,885000
266,2008-07-25 00:00:00,370000
267,2008-07-26 00:00:00,564000
268,2008-07-28 00:00:00,365000
269,2008-07-29 00:00:00,927000
270,2008-07-30 00:00:00,360000
271,2008-07-30 00:00:00,390000
272,2008-07-31 00:00:00,440000
273,2008-08-01 00:00:00,430000
274,2008-08-01 00:00:00,595000
275,2008-08-04 00:00:00,365000
276,2008-08-04 00:00:00,585000
277,2008-08-04 00:00:00,602500
278,2008-08-05 00:00:00,359000
279,2008-08-05 00:00:00,475000
280,2008-08-06 00:00:00,315000
281,2008-08-06 00:00:00,320000
282,2008-08-06 00:00:00,325000
283,2008-08-06 00:00:00,341000
284,2008-08-06 00:00:00,540000
285,2008-08-07 00:00:00,395000
286,2008-08-09 00:00:00,370000
287,2008-08-09 00:00:00,620000
288,2008-08-09 00:00:00,631000
289,2008-08-11 00:00:00,405000
290,2008-08-12 00:00:00,548000
291,2008-08-13 00:00:00,405000
292,2008-08-13 00:00:00,420000
293,2008-08-13 00:00:00,531500
294,2008-08-14 00:00:00,350000
295,2008-08-15 00:00:00,365000
296,2008-08-15 00:00:00,375000
297,2008-08-15 00:00:00,402000
298,2008-08-15 00:00:00,420000
299,2008-08-15 00:00:00,550000
300,2008-08-15 00:00:00,585000
301,2008-08-18 00:00:00,279500
302,2008-08-19 00:00:00,330000
303,2008-08-19 00:00:00,360000
304,2008-08-19 00:00:00,370000
305,2008-08-20 00:00:00,405000
306,2008-08-21 00:00:00,395000
307,2008-08-21 00:00:00,490000
308,2008-08-21 00:00:00,530000
309,2008-08-21 00:00:00,680000
310,2008-08-22 00:00:00,495000
311,2008-08-22 00:00:00,805000
312,2008-08-23 00:00:00,630000
313,2008-08-25 00:00:00,400000
314,2008-08-27 00:00:00,345000
315,2008-08-27 00:00:00,440000
316,2008-08-27 00:00:00,510000
317,2008-08-28 00:00:00,310000
318,2008-08-29 00:00:00,370000
319,2008-08-29 00:00:00,465000
320,2008-08-30 00:00:00,342000
321,2008-09-01 00:00:00,380000
322,2008-09-02 00:00:00,345000
323,2008-09-02 00:00:00,370000
324,2008-09-02 00:00:00,495000
325,2008-09-02 00:00:00,541000
326,2008-09-02 00:00:00,1380000
327,2008-09-03 00:00:00,372000
328,2008-09-03 00:00:00,415000
329,2008-09-04 00:00:00,335000
330,2008-09-04 00:00:00,1150000
331,2008-09-05 00:00:00,387000
332,2008-09-05 00:00:00,395000
333,2008-09-05 00:00:00,400000
334,2008-09-05 00:00:00,426000
335,2008-09-05 00:00:00,552000
336,2008-09-08 00:00:00,349000
337,2008-09-08 00:00:00,360500
338,2008-09-08 00:00:00,740000
339,2008-09-10 00:00:00,371600
340,2008-09-11 00:00:00,380000
341,2008-09-11 00:00:00,450000
342,2008-09-12 00:00:00,427000
343,2008-09-13 00:00:00,477000
344,2008-09-13 00:00:00,479000
345,2008-09-15 00:00:00,321000
346,2008-09-15 00:00:00,405000
347,2008-09-16 00:00:00,357000
348,2008-09-16 00:00:00,360000
349,2008-09-16 00:00:00,365000
350,2008-09-16 00:00:00,585000
351,2008-09-17 00:00:00,343000
352,2008-09-17 00:00:00,410000
353,2008-09-17 00:00:00,420000
354,2008-09-17 00:00:00,420000
355,2008-09-17 00:00:00,720000
356,2008-09-17 00:00:00,720000
357,2008-09-18 00:00:00,320000
358,2008-09-18 00:00:00,474000
359,2008-09-18 00:00:00,860000
360,2008-09-19 00:00:00,460000
361,2008-09-19 00:00:00,592000
362,2008-09-19 00:00:00,695000
363,2008-09-20 00:00:00,346000
364,2008-09-22 00:00:00,349950
365,2008-09-22 00:00:00,355000
366,2008-09-22 00:00:00,362000
367,2008-09-22 00:00:00,373000
368,2008-09-22 00:00:00,399000
369,2008-09-22 00:00:00,422250
370,2008-09-22 00:00:00,445000
371,2008-09-22 00:00:00,475000
372,2008-09-22 00:00:00,485000
373,2008-09-22 00:00:00,560500
374,2008-09-22 00:00:00,590000
375,2008-09-22 00:00:00,595000
376,2008-09-22 00:00:00,650000
377,2008-09-22 00:00:00,660000
378,2008-09-22 00:00:00,675000
379,2008-09-22 00:00:00,685000
380,2008-09-22 00:00:00,690000
381,2008-09-22 00:00:00,975000
382,2008-09-23 00:00:00,372000
383,2008-09-24 00:00:00,437000
384,2008-09-25 00:00:00,411000
385,2008-09-25 00:00:00,450000
386,2008-09-25 00:00:00,525000
387,2008-09-26 00:00:00,312000
388,2008-09-26 00:00:00,510000
389,2008-09-26 00:00:00,707500
390,2008-09-26 00:00:00,755000
391,2008-09-29 00:00:00,380000
392,2008-09-29 00:00:00,389000
393,2008-09-29 00:00:00,415000
394,2008-09-29 00:00:00,557000
395,2008-09-29 00:00:00,585000
396,2008-09-29 00:00:00,595000
