,Date,Unemployment
398,398,7.4
399,399,7.2
400,400,7.5
401,401,7.5
402,402,7.2
403,403,7.4
404,404,7.6
405,405,7.9
406,406,8.3
407,407,8.5
408,408,8.6
409,409,8.9
410,410,9.0
411,411,9.3
412,412,9.4
413,413,9.6
414,414,9.8
415,415,9.8
416,416,10.1
417,417,10.4
418,418,10.8
419,419,10.8
420,420,10.4
421,421,10.4
422,422,10.3
423,423,10.2
424,424,10.1
425,425,10.1
426,426,9.4
427,427,9.5
428,428,9.2
429,429,8.8
430,430,8.5
431,431,8.3
432,432,8.0
433,433,7.8
434,434,7.8
435,435,7.7
436,436,7.4
437,437,7.2
438,438,7.5
439,439,7.5
440,440,7.3
441,441,7.4
442,442,7.2
443,443,7.3
444,444,7.3
445,445,7.2
446,446,7.2
447,447,7.3
448,448,7.2
449,449,7.4
450,450,7.4
451,451,7.1
452,452,7.1
453,453,7.1
454,454,7.0
455,455,7.0
456,456,6.7
457,457,7.2
458,458,7.2
459,459,7.1
460,460,7.2
461,461,7.2
462,462,7.0
463,463,6.9
464,464,7.0
465,465,7.0
466,466,6.9
467,467,6.6
468,468,6.6
469,469,6.6
470,470,6.6
471,471,6.3
472,472,6.3
473,473,6.2
474,474,6.1
475,475,6.0
476,476,5.9
477,477,6.0
478,478,5.8
479,479,5.7
480,480,5.7
481,481,5.7
482,482,5.7
483,483,5.4
484,484,5.6
485,485,5.4
486,486,5.4
487,487,5.6
488,488,5.4
489,489,5.4
490,490,5.3
491,491,5.3
492,492,5.4
493,493,5.2
494,494,5.0
495,495,5.2
496,496,5.2
497,497,5.3
498,498,5.2
499,499,5.2
500,500,5.3
501,501,5.3
502,502,5.4
503,503,5.4
504,504,5.4
505,505,5.3
506,506,5.2
507,507,5.4
508,508,5.4
509,509,5.2
510,510,5.5
511,511,5.7
512,512,5.9
513,513,5.9
514,514,6.2
515,515,6.3
516,516,6.4
517,517,6.6
518,518,6.8
519,519,6.7
520,520,6.9
521,521,6.9
522,522,6.8
523,523,6.9
524,524,6.9
525,525,7.0
526,526,7.0
527,527,7.3
528,528,7.3
529,529,7.4
530,530,7.4
531,531,7.4
532,532,7.6
533,533,7.8
534,534,7.7
535,535,7.6
536,536,7.6
537,537,7.3
538,538,7.4
539,539,7.4
540,540,7.3
541,541,7.1
542,542,7.0
543,543,7.1
544,544,7.1
545,545,7.0
546,546,6.9
547,547,6.8
548,548,6.7
549,549,6.8
550,550,6.6
